2014_01_14_15,46.9,5.8,Light Rain
2014_01_14_16,46.9,3.5,Overcast
2014_01_14_17,46.0,4.6,Overcast
2014_01_14_18,46.0,3.5,Mostly Cloudy
2014_01_14_19,46.0,6.9,Overcast
2014_01_14_20,46.9,Calm,Overcast
2014_01_14_21,46.9,6.9,Partly Cloudy
2014_01_14_22,45.0,Calm,Clear
2014_01_14_23,45.0,5.8,Overcast
2014_01_15_00,44.1,3.5,Scattered Clouds
2014_01_15_01,41.0,-9999.0,Unknown
2014_01_15_02,41.0,-9999.0,Unknown
2014_01_15_03,41.0,-9999.0,Unknown
2014_01_15_04,39.2,-9999.0,Unknown
2014_01_15_05,39.2,-9999.0,Unknown
2014_01_15_06,39.2,-9999.0,Unknown
2014_01_15_07,39.2,-9999.0,Unknown
2014_01_15_08,41.0,-9999.0,Unknown
2014_01_15_09,42.8,-9999.0,Unknown
2014_01_15_11,44.6,-9999.0,Unknown
2014_01_15_12,44.6,-9999.0,Unknown
2014_01_15_14,44.6,-9999.0,Unknown
2014_01_15_15,42.8,-9999.0,Unknown
2014_01_15_16,41.0,-9999.0,Unknown
2014_01_15_17,41.0,-9999.0,Unknown
2014_01_15_18,41.0,-9999.0,Unknown
2014_01_15_19,41.0,-9999.0,Unknown
2014_01_15_20,41.0,-9999.0,Unknown
2014_01_15_21,41.0,-9999.0,Unknown
2014_01_15_22,41.0,-9999.0,Unknown
2014_01_15_23,41.0,-9999.0,Unknown
2014_01_16_00,41.0,-9999.0,Unknown
2014_01_16_01,39.2,-9999.0,Unknown
2014_01_16_02,39.2,-9999.0,Unknown
2014_01_16_03,41.0,-9999.0,Unknown
2014_01_16_04,39.2,-9999.0,Unknown
2014_01_16_05,39.2,-9999.0,Unknown
2014_01_16_06,39.2,-9999.0,Unknown
2014_01_16_07,39.2,-9999.0,Unknown
2014_01_16_08,39.2,-9999.0,Unknown
2014_01_16_09,39.2,-9999.0,Unknown
2014_01_16_10,39.2,-9999.0,Unknown
2014_01_16_11,37.4,-9999.0,Unknown
2014_01_16_12,39.2,-9999.0,Unknown
2014_01_16_13,39.9,4.6,Overcast
2014_01_16_14,38.5,-9999.0,Unknown
2014_01_16_15,38.5,-9999.0,Unknown
2014_01_16_16,37.6,-9999.0,Unknown
2014_01_16_17,37.0,-9999.0,Unknown
2014_01_16_18,36.1,-9999.0,Unknown
2014_01_16_19,36.1,-9999.0,Unknown
2014_01_16_20,36.1,-9999.0,Unknown
2014_01_16_21,36.0,-9999.0,Unknown
2014_01_16_22,36.0,-9999.0,Unknown
2014_01_16_23,35.2,-9999.0,Unknown
2014_01_17_00,35.2,-9999.0,Unknown
2014_01_17_01,34.9,-9999.0,Unknown
2014_01_17_02,34.0,-9999.0,Unknown
2014_01_17_03,32.7,-9999.0,Unknown
2014_01_17_04,33.8,-9999.0,Unknown
2014_01_17_05,33.8,-9999.0,Unknown
2014_01_17_06,33.8,-9999.0,Unknown
2014_01_17_07,33.8,-9999.0,Unknown
2014_01_17_08,35.6,-9999.0,Unknown
2014_01_17_09,37.4,-9999.0,Unknown
2014_01_17_10,39.2,-9999.0,Unknown
2014_01_17_11,41.0,-9999.0,Unknown
2014_01_17_12,44.6,-9999.0,Unknown
2014_01_17_13,42.8,-9999.0,Unknown
2014_01_17_14,44.6,-9999.0,Unknown
2014_01_17_15,44.6,-9999.0,Unknown
2014_01_17_16,42.8,-9999.0,Unknown
2014_01_17_17,41.0,-9999.0,Unknown
2014_01_17_18,41.0,-9999.0,Unknown
2014_01_17_19,39.2,-9999.0,Unknown
2014_01_17_20,39.2,-9999.0,Unknown
2014_01_17_21,41.0,-9999.0,Unknown
2014_01_17_22,39.2,-9999.0,Unknown
2014_01_17_23,39.2,-9999.0,Unknown
2014_01_18_00,39.2,-9999.0,Unknown
2014_01_18_01,39.2,-9999.0,Unknown
2014_01_18_02,39.2,-9999.0,Unknown
2014_01_18_03,39.2,-9999.0,Unknown
2014_01_18_04,37.4,-9999.0,Unknown
2014_01_18_05,37.4,-9999.0,Unknown
2014_01_18_06,37.4,-9999.0,Unknown
2014_01_18_07,37.4,-9999.0,Unknown
2014_01_18_10,33.8,-9999.0,Unknown
2014_01_18_11,33.8,-9999.0,Unknown
2014_01_18_12,37.4,-9999.0,Unknown
2014_01_18_13,37.4,-9999.0,Unknown
2014_01_18_14,37.4,-9999.0,Unknown
2014_01_18_15,35.6,-9999.0,Unknown
2014_01_18_16,35.6,-9999.0,Unknown
2014_01_18_17,35.6,-9999.0,Unknown
2014_01_18_18,32.0,-9999.0,Unknown
2014_01_18_19,30.2,-9999.0,Unknown
2014_01_18_20,30.2,-9999.0,Unknown
2014_01_18_21,30.2,-9999.0,Unknown
2014_01_18_22,30.2,-9999.0,Unknown
2014_01_18_23,28.4,-9999.0,Unknown
2014_01_19_00,28.4,-9999.0,Unknown
2014_01_19_01,26.6,-9999.0,Unknown
2014_01_19_02,26.6,-9999.0,Unknown
2014_01_19_03,24.8,-9999.0,Unknown
2014_01_19_04,24.8,-9999.0,Unknown
2014_01_19_05,26.6,-9999.0,Unknown
2014_01_19_06,24.8,-9999.0,Unknown
2014_01_19_07,24.8,-9999.0,Unknown
2014_01_19_08,24.8,-9999.0,Unknown
2014_01_19_09,24.8,-9999.0,Unknown
2014_01_19_10,26.6,-9999.0,Unknown
2014_01_19_11,28.4,-9999.0,Unknown
2014_01_19_12,30.2,-9999.0,Unknown
2014_01_19_13,32.0,-9999.0,Unknown
2014_01_19_14,33.8,-9999.0,Unknown
2014_01_19_15,35.6,-9999.0,Unknown
2014_01_19_16,35.6,-9999.0,Unknown
2014_01_19_17,35.6,-9999.0,Unknown
2014_01_19_18,35.6,-9999.0,Unknown
2014_01_19_19,35.6,-9999.0,Unknown
2014_01_19_20,35.6,-9999.0,Unknown
2014_01_19_21,35.6,-9999.0,Unknown
2014_01_19_22,35.6,-9999.0,Unknown
2014_01_19_23,37.4,-9999.0,Unknown
2014_01_20_00,37.4,-9999.0,Unknown
2014_01_20_01,35.6,-9999.0,Unknown
2014_01_20_02,35.6,-9999.0,Unknown
2014_01_20_03,37.4,-9999.0,Unknown
2014_01_20_04,35.6,-9999.0,Unknown
2014_01_20_05,37.4,-9999.0,Unknown
